tool	project	commit	time	files
RefDiff	realm-java	6cf596df183b3c3a38ed5dd9bb3b0100c6548ebb	2949	7
RefDiff	rstudio	cb49e436b9d7ee55f2531ebc2ef1863f5c9ba9fe	142	2
RefDiff	intellij-community	7ed3f273ab0caf0337c22f0b721d51829bb0c877	289	2
RefDiff	intellij-community	7a4dab88185553bd09e827839fdf52e870ef7088	782	8
RefDiff	intellij-community	7655200f58293e5a30bf8b3cbb29ebadae374564	1535	18
RefDiff	sonarqube	4a2247c24efee48de53ca07302b6810ab7205621	1016	36
RefDiff	sonarqube	abbf32571232db81a5343db17a933a9ce6923b44	1968	70
RefDiff	crash	2801269c7e47bd6e243612654a74cee809d20959	156	3
RefDiff	eclipse-themes	72f61ec9b85a740fd09d10ad711e275d2ec2e564	125	8
RefDiff	jodd	722ef9156896248ef3fbe83adde0f6ff8f46856a	379	8
RefDiff	guacamole-client	ebb483320d971ff4d9e947309668f5da1fcd3d23	164	4
RefDiff	byte-buddy	372f4ae6cebcd664e3b43cade356d1df233f6467	4048	39
RefDiff	commafeed	18a7bd1fd1a83b3b8d1b245e32f78c0b4443b7a7	119	2
RefDiff	fabric8	8127b21a220ca677c4e59961d019e7753da7ea6e	333	2
RefDiff	quasar	c22d40fab8dfe4c5cad9ba582caf0855ff64b324	282	10
RefDiff	moco	55ffa2f3353c5dc77fe6b790e5e045b76a07a772	266	4
RefDiff	gradle	04bcfe98dbe7b05e508559930c21379ece845732	1482	58
RefDiff	MPS	2bcd05a827ead109a56cb1f79a83dcd332f42888	2290	44
RefDiff	Android-IMSI-Catcher-Detector	e235f884f2e0bc258da77b9c80492ad33386fa86	244	2
RefDiff	intellij-community	138911ce88b05039242b8d1b2bb5b7a59008f5ee	948	4
RefDiff	intellij-community	04397f41107bd6de41b31d45a4e8e2ed65628bbe	144	2
RefDiff	intellij-community	cc0eaf7faa408a04b68e2b5820f3ebcc75420b5b	600	8
RefDiff	sonarqube	c55a8c3761e9aae9f375d312c14b1bbb9ee9c0fa	241	4
RefDiff	guacamole-client	ce1f3d07976de31aed8f8189ec5e1a6453f4b580	180	4
RefDiff	BroadleafCommerce	4ef35268bb96bb78b2dc698fa68e7ce763cde32e	325	4
